Tanggal;Positive Rate;% Rate Positif;Rate Death;%Rate Death;Sembuh;%Sembuh;Vaksinasi 2;% vaksinasi 2;Vaksinasi 1;% vaksinasi 1;Klasifikasi
01-Jan;3828;0,05%;13;0,28%;112;0,09%;0;0,00%;0;0,00%;PSBB
02-Jan;3901;0,05%;2;0,04%;216;0,17%;0;0,00%;0;0,00%;PSBB
03-Jan;3885;0,05%;13;0,28%;221;0,17%;0;0,00%;0;0,00%;PSBB
04-Jan;3896;0,05%;2;0,04%;133;0,10%;0;0,00%;0;0,00%;PSBB
05-Jan;4145;0,05%;3;0,06%;45;0,03%;0;0,00%;0;0,00%;PSBB
06-Jan;4123;0,05%;4;0,09%;290;0,22%;0;0,00%;0;0,00%;PSBB
07-Jan;4293;0,05%;4;0,09%;181;0,14%;0;0,00%;0;0,00%;PSBB
08-Jan;4517;0,06%;7;0,15%;148;0,11%;0;0,00%;0;0,00%;PSBB
09-Jan;4675;0,06%;7;0,15%;136;0,11%;0;0,00%;0;0,00%;PSBB
10-Jan;4714;0,06%;9;0,19%;234;0,18%;0;0,00%;0;0,00%;PSBB
11-Jan;4790;0,06%;9;0,19%;200;0,15%;0;0,00%;0;0,00%;PTKM
12-Jan;4905;0,06%;3;0,06%;150;0,12%;0;0,00%;0;0,00%;PTKM
13-Jan;5041;0,06%;5;0,11%;178;0,14%;0;0,00%;0;0,00%;PTKM
14-Jan;5196;0,07%;8;0,17%;128;0,10%;870;0,04%;3;0,01%;PTKM
15-Jan;5192;0,07%;18;0,38%;248;0,19%;292;0,01%;0;0,00%;PTKM
16-Jan;5185;0,07%;12;0,26%;297;0,23%;310;0,02%;1;0,00%;PTKM
17-Jan;5280;0,07%;9;0,19%;173;0,13%;0;0,00%;0;0,00%;PTKM
18-Jan;5282;0,07%;6;0,13%;287;0,22%;1874;0,09%;0;0,00%;PTKM
19-Jan;5461;0,07%;1;0,02%;107;0,08%;1453;0,07%;0;0,00%;PTKM
20-Jan;5547;0,07%;13;0,28%;188;0,15%;1293;0,06%;1;0,00%;PTKM
21-Jan;5788;0,07%;9;0,19%;206;0,16%;1167;0,06%;0;0,00%;PTKM
22-Jan;5887;0,07%;5;0,11%;374;0,29%;561;0,03%;1;0,00%;PTKM
23-Jan;6235;0,08%;8;0,17%;117;0,09%;612;0,03%;0;0,00%;PTKM
24-Jan;6250;0,08%;9;0,19%;186;0,14%;209;0,01%;0;0,00%;PTKM
25-Jan;6137;0,08%;15;0,32%;408;0,32%;1389;0,07%;0;0,00%;PTKM
26-Jan;6145;0,08%;6;0,13%;311;0,24%;1438;0,07%;2;0,00%;PPKM tahap 2
27-Jan;6174;0,08%;15;0,32%;383;0,30%;1779;0,09%;0;0,00%;PPKM tahap 2
28-Jan;6141;0,08%;9;0,19%;383;0,30%;3838;0,19%;708;1,59%;PPKM tahap 2
29-Jan;6342;0,08%;3;0,06%;210;0,16%;984;0,05%;298;0,67%;PPKM tahap 2
30-Jan;6390;0,08%;7;0,15%;262;0,20%;637;0,03%;295;0,66%;PPKM tahap 2
31-Jan;6236;0,08%;14;0,30%;394;0,30%;50;0,00%;0;0,00%;PPKM tahap 2
01-Feb;6192;0,08%;7;0,15%;259;0,20%;2063;0,10%;1560;3,51%;PPKM tahap 2
02-Feb;6141;0,08%;6;0,13%;271;0,21%;2532;0,12%;1385;3,12%;PPKM tahap 2
03-Feb;6144;0,08%;4;0,09%;305;0,24%;2393;0,12%;1223;2,75%;PPKM tahap 2
04-Feb;6230;0,08%;6;0,13%;229;0,18%;2040;0,10%;1198;2,70%;PPKM tahap 2
05-Feb;6343;0,08%;2;0,04%;165;0,13%;1324;0,06%;518;1,17%;PPKM tahap 2
06-Feb;6290;0,08%;4;0,09%;266;0,21%;1115;0,05%;607;1,37%;PPKM tahap 2
07-Feb;6219;0,08%;3;0,06%;213;0,16%;40;0,00%;179;0,40%;PPKM tahap 2
08-Feb;6157;0,08%;13;0,28%;255;0,20%;603;0,03%;1367;3,08%;PPKM tahap 2
09-Feb;6055;0,08%;4;0,09%;326;0,25%;419;0,02%;1347;3,03%;PPKM Mikro
10-Feb;6086;0,08%;7;0,15%;253;0,20%;419;0,02%;1642;3,69%;PPKM Mikro
11-Feb;6088;0,08%;3;0,06%;256;0,20%;651;0,03%;3661;8,24%;PPKM Mikro
12-Feb;6184;0,08%;8;0,17%;174;0,13%;0;0,00%;14;0,03%;PPKM Mikro
13-Feb;5920;0,08%;7;0,15%;370;0,29%;476;0,02%;801;1,80%;PPKM Mikro
14-Feb;5773;0,07%;8;0,17%;247;0,19%;2;0,00%;2;0,00%;PPKM Mikro
15-Feb;5763;0,07%;5;0,11%;140;0,11%;226;0,01%;1981;4,46%;PPKM Mikro
16-Feb;5640;0,07%;4;0,09%;286;0,22%;233;0,01%;2665;6,00%;PPKM Mikro
17-Feb;5613;0,07%;10;0,21%;244;0,19%;179;0,01%;2305;5,19%;PPKM Mikro
18-Feb;5740;0,07%;10;0,21%;118;0,09%;271;0,01%;2176;4,90%;PPKM Mikro
19-Feb;5739;0,07%;5;0,11%;259;0,20%;145;0,01%;1305;2,94%;PPKM Mikro
20-Feb;5808;0,07%;3;0,06%;129;0,10%;957;0,05%;1049;2,36%;PPKM Mikro
21-Feb;5720;0,07%;8;0,17%;255;0,20%;0;0,00%;25;0,06%;PPKM Mikro
22-Feb;5624;0,07%;7;0,15%;227;0,18%;441;0,02%;837;1,88%;PPKM Mikro
23-Feb;5603;0,07%;10;0,21%;239;0,18%;204;0,01%;460;1,04%;PPKM Mikro
24-Feb;5545;0,07%;6;0,13%;253;0,20%;130;0,01%;409;0,92%;PPKM Mikro
25-Feb;5515;0,07%;3;0,06%;255;0,20%;131;0,01%;645;1,45%;PPKM Mikro
26-Feb;5462;0,07%;4;0,09%;223;0,17%;78;0,00%;38;0,09%;PPKM Mikro
27-Feb;5463;0,07%;9;0,19%;218;0,17%;282;0,01%;408;0,92%;PPKM Mikro
28-Feb;5370;0,07%;4;0,09%;259;0,20%;230;0,01%;2;0,00%;PPKM Mikro
